lon	lat
126.650254441069	-62.4296284318753
126.337947746774	-62.355968714412
125.992830113859	-62.3830801623692
125.682913930874	-62.3077800954295
125.374751843876	-62.2317280333505
125.068346680291	-62.1549313624582
124.763700833445	-62.0773974622124
124.460816271372	-61.9991337032937
124.159694545669	-61.9201474457452
123.860336800412	-61.8404460371669
123.562743781092	-61.7600368109642
123.139163546761	-61.718626494039
122.716894556364	-61.6757423412244
122.248435113483	-61.7313903958396
121.956923298991	-61.6470983349357
121.617491050107	-61.6618501405766
121.328692867804	-61.5760674013658
120.989835628822	-61.5890454504836
120.70379561397	-61.501792454791
120.365592641134	-61.5130056218348
120.082352535491	-61.4243031419168
119.613426117376	-61.4696190260687
119.201365508413	-61.4145625499904
118.598366846492	-61.491159062166
118.188110053298	-61.4326143481242
117.582029207797	-61.5040921733727
117.173838201597	-61.4420753513201
116.565051177078	-61.5084047274549
116.15918467533	-61.4429356233632
115.755270760167	-61.3761153893936
115.353335229616	-61.3079551976487
114.953402850836	-61.2384663402613
114.481264811726	-61.2635053171115
114.220918703008	-61.1615168596184
113.962488974578	-61.0590063930741
113.705964944157	-60.9559810567785
113.451335780817	-60.852447928725
113.198590513648	-60.7484140253743
112.812245866728	-60.6719462138098
112.428014522302	-60.5942335020208
111.82869318882	-60.636112883468
111.447736327105	-60.5551906893078
110.847930093895	-60.5920166787762
110.470452544215	-60.5079223014021
110.008104678915	-60.5151035710111
109.771454235669	-60.4040238841615
109.17301787638	-60.4321837674499
108.665051118019	-60.3659160663644
108.066492297584	-60.3883523904925
107.838617166997	-60.2734513653312
107.518294566537	-60.2485657497603
107.293749567335	-60.1326650373377
106.699244233994	-60.1479970748684
106.283361534176	-60.2093273048591
105.765535307347	-60.358136702886
105.625422797269	-60.3776354074353
105.165773608046	-60.3655499248019
104.809988417379	-60.2636035742275
104.212104731235	-60.266065161928
103.861027563021	-60.161249983098
103.405875241137	-60.142189767306
103.199359161124	-60.0186465785713
102.994616791916	-59.8948030431762
102.791630542388	-59.7706647472005
102.590382945535	-59.6462372037857
102.282838607855	-59.6070275694767
102.084900586569	-59.4817989288412
101.888658039628	-59.356297694549
101.144973871706	-59.2873255375716
100.404904484514	-59.2134620043073
99.1400512341329	-59.2523388904113
98.586237725752	-59.2965404360647
97.6318907415423	-59.4384260741656
97.2124907534772	-59.466243422455
96.6357687628895	-59.4296014572825
96.4958018454176	-59.4378082524491
96.0904024641004	-59.5327738031824
95.8091119440147	-59.5476605557253
94.6697335109144	-59.5286106019407
93.8047081874042	-59.4172520758284
92.8132544469194	-59.3746040847078
92.6728010589495	-59.3780379813962
92.3976837658076	-59.4560843949844
92.2567939264511	-59.4589991835647
91.1260619618225	-59.4042034552153
90.1407755877591	-59.4097571270929
88.3070215623711	-59.4688942638184
87.4614554016012	-59.4529933135315
86.4850195034321	-59.3548020739292
86.3626199165051	-59.207163150945
86.241444314528	-59.0594926958217
86.1214754971523	-58.9117933382261
86.0026965625924	-58.7640676653558
85.6012946450045	-58.6770148133552
85.3498151501137	-58.5231930037414
84.9535581403143	-58.4338785428098
84.8423856810175	-58.2852697876812
84.7323028719558	-58.1366543485462
84.4896942528513	-57.9812722444451
84.2495535560273	-57.8254671675552
83.8655900560761	-57.7325195386189
83.7622003984943	-57.5833389677396
83.2516009558305	-57.4804952594103
82.8912701144211	-57.3136515848432
81.869897645844	-57.1679110267059
81.2240788518695	-57.1157338244969
80.3018057806657	-57.1060375634433
79.9996040210839	-57.2216498134238
79.4608162713718	-57.2408856505552
79.1541996018373	-57.3541442468188
78.0978176411347	-57.3116977482846
77.2715065389285	-57.3596076876898
76.3459350519099	-57.315279890471
76.155594362684	-57.436458204979
75.8677301758717	-57.4710760523315
75.6745486598539	-57.5914815637742
75.3847060444159	-57.6248180373073
75.1886636210752	-57.7444305231899
74.8968591355061	-57.7764676975174
74.6979367933028	-57.895266725615
74.4041886533467	-57.9259867131904
74.1656781690029	-58.1125673690842
73.7019620308352	-58.1904466329048
73.326781555501	-58.3552781158146
72.8972710309476	-58.3613745999653
72.6866626026835	-58.4767115745812
72.385356699993	-58.5019852186558
72.1717916679418	-58.6164037325152
71.6083586363385	-58.5954622015936
71.1310005449386	-58.6624484907775
70.567572152596	-58.6361639566363
