Event	Depth sed [m]	A. curvatulus [%]	A. actinochilus [%]	A. hookeri [%]	A. hyalinus [%]	A. parvulus [%]	A. tabularis var. egregius [%]	A. tabularis [%]	A_tabularis_tot	Chaetoceros spp. veg [%]	Chaetoceros spp. rs [%]	Coscinodiscus spp. [%]	E. antarctica rs [%]	Fragilariopsis spp. [%]	F. kerguelensis [%]	F. obliquecostata [%]	F. sublinearis	F_obli_tot	F. ritscheri [%]	F. curta [%]	F. rhombica [%]	F. separanda [%]	F. pseudonana [%]	F. cylindrus [%]	H. cuneiformis [%]	Navicula spp. [%]	N. directa [%]	N. bicapitata [%]	N. sicula var. bicuneata [%]	N. sicula var. rostrata [%]	N_sicula_tot	O. weissflogii [%]	P-n heimii	P-n lineola-turgiduloides gr [%]	R. antennata f semispina [%]	R. bergonii [%]	Rhizosolenia sp. [%] (sp. A)	R. antennata [%]	R_antennata_tot	R. tesselata [%]	S. microtrias [%]	T. nitzschioides [%] (Form 1)	T. nitzschioides var. capitulata [%]	T. nitzschioides var. lanceolata [%]	T_nitzschioides_tot	T. antarctica [%]	T. gracilis var. expecta [%]	T. gracilis [%]	T. gravida [%]	T. lentiginosa [%]	T. oestrupii [%]	T. oliverana [%]	T. trifulta [%]	T. frenguelliopsis [%]	T. tumida [%]	Thalassiosira spp. [%]	P. pseudodenticulata [%]	P. directum [%]	T. antarctica [%]	T. reinboldii [%]	Delphineis spp. [%] (Species questionable)		Unid
PS58/274-1	1.95	0.48	0.16	0.16	0.16	0	0.16	1.91	2.07	0	22.93	0	3.03	0	55.57	0	0	0	0	0.16	0	1.27	0	0	0	0	0	0	0.16	0	0.16	0	0.1592357	0	0	0	0.16	0	0	0	0	0	0.16	0.32		0	0.16	1.91	0.16	6.85	0	0.48	0.96	0	0	0.32	0	0.32	1.91	0	0		0
PS58/274-1	2.05	0.41	0	0.27	0	0.68	0	2.46	2.46	0	14.32	0	1.5	0	65.62	0	0	0	0.27	0	0.41	1.77	0	0	0	0.27	0	0	0	0	0	0	0.1364256	0	0	0	0	0	0	0	0	0	0	0.14		0	0	1.09	0.14	7.78	0	0.68	0.41	0	0	0	0	0	1.64	0	0		0
PS58/274-1	2.15	0	0.3	0	0	0.15	0	2.07	2.07	0	10.64	0	5.02	0	64.99	0	0	0	0	0	0	2.07	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0.15	0	0	0	0.15	0		0	0	0.44	0.3	9.16	0	0.59	1.18	0	0	0.44	0	0	2.36	0	0		0
PS58/274-1	2.25	0	0.47	0	0	0.24	0	2.13	2.13	0	4.74	0.24	5.45	0.24	62.8	0	0	0	0.24	0.24	0	0.71	0	0	0	0	0	0	0.24	0	0.24	0	0	0	0	0	0.24	0	0	0	0	0	0	0		0	0	0.95	0.71	15.4	0	1.18	0.47	0	0	0.24	0	0.24	2.84	0	0		0
PS58/274-1	2.35	0.17	0.34	0.17	0	0	0	2.4	2.4	0	3.77	0	6.69	0	65.35	0.34	0	0.34	0	0.34	0.34	1.72	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0.17	0	0.17	0	0	0	0	0		0	0	1.54	0.34	13.38	0	0.69	0.34	0	0	0.17	0	0	1.54	0	0		0
PS58/274-1	2.45	0.19	0.19	0	0	0.76	0	3.05	3.05	0	6.11	0	5.34	0.76	62.98	0.19	0	0.19	0	0.38	0.38	1.91	0	0	0	0.38	0	0	0	0	0	0	0	0	0.19	0	0	0	0.19	0	0	0	0	0		0	0.19	0.95	0.38	13.74	0	0.57	0.38	0	0	0	0	0	0.95	0	0		0
PS58/274-1	2.55	0.17	0.67	0	0	0.34	0	1.52	1.52	0	2.86	0.34	6.57	0.17	66.84	0	0	0	0.17	0.34	0	1.52	0	0	0	0.17	0	0	0.17	0	0.17	0	0	0	0.17	0	0	0.17	0.34	0	0.17	0	0.17	0		0	0	0.67	0.17	12.96	0	0.51	0.84	0	0	0.17	0.34	0	1.85	0	0		0
PS58/274-1	2.65	0	0.49	0	0	0.74	0	1.23	1.23	0.25	4.2	0.25	8.4	0	60	0	0.2469136	0.2469136	0.25	0.25	0.25	1.48	0	0.25	0	0.49	0	0	0	0	0	0	0	0	0.74	0	0.25	0	0.74	0	0.25	0	0	0		0	0	0.74	0.49	14.81	0	1.23	0.99	0	0	0	0	0	1.73	0	0		0
PS58/274-1	2.75	0	0.48	0	0.24	0.48	0	2.39	2.39	0	0.96	0.24	11	0	59.57	0	0	0	0	0.24	0	2.15	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.24	0	0	0	0	0		0	0	1.44	0.24	14.59	0.24	0.96	1.67	0	0.24	0.72	0	0	1.67	0	0		0
PS58/274-1	2.85	0	0.75	0	0	0	0	1.75	1.75	0	2	0	5.25	0	63.75	0.25	0	0.25	0.25	0.25	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0.25	0	0	0.25		0	0	2	0	16.25	0.5	1.25	1.25	0	0	0.5	0	0	1.75	0	0		0
PS58/274-1	2.95	0	0.45	0	0	0.67	0.22	1.79	2.01	0	2.47	0.67	9.87	0	62.11	0	0	0	0	0.9	0	1.12	0	0	0	0.45	0	0	0	0	0	0	0	0	0.45	0	0	0	0.45	0	0	0	0	0.22		0	0	1.35	0.67	12.33	0	1.12	0.9	0	0.45	0.45	0	0	1.35	0	0		0
PS58/274-1	3.05	0	1.17	0	0	0	0	2.34	2.34	0	2.73	0.19	4.87	0	64.33	0	0	0	0.19	0.58	0.19	2.34	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0		0	0	1.56	0.19	13.84	0	0.58	0.78	0	0	0.58	0	0	3.12	0	0		0
PS58/274-1	3.15	0	0.69	0.23	0.23	0.23	0.23	2.52	2.75	0	2.29	0	8.24	0	61.33	0.23	0	0.23	0	0.69	0	1.37	0	0	0	0.23	0	0	0	0	0	0	0	0	0.46	0	0	0	0.46	0	0	0	0	0		0	0	2.75	0	15.33	0	0.46	0.69	0	0	0.23	0	0	1.6	0	0		0
PS58/274-1	3.25	0	0.42	0	0	0.42	0.21	2.09	2.3	0	5.02	0.21	7.53	0	59.41	0.21	0	0.21	0.21	1.05	0.42	1.88	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0.21	0	0	0	0	0		0	0.21	1.26	0.63	14.02	0	0.63	0.84	0	0	0.84	0	0	2.3	0	0		0
